Date,Not indexed,Indexed,Impressions
2026-04-11,,,121
2026-04-12,,,162
2026-04-13,2598,5205,275
2026-04-14,2607,5196,204
2026-04-15,2607,5196,351
2026-04-16,2607,5196,384
2026-04-17,2607,5196,381
