Reason,Source,Validation,Pages
Alternate page with proper canonical tag,Website,Started,70
Duplicate without user-selected canonical,Website,Started,6
Soft 404,Website,Started,4
Discovered - currently not indexed,Google systems,Started,2513
Crawled - currently not indexed,Google systems,Started,14
