Date,Clicks,Impressions,CTR,Position
2026-04-11,0,121,0%,37.7
2026-04-12,0,162,0%,44
2026-04-13,2,275,0.73%,50.8
2026-04-14,2,204,0.98%,27.9
2026-04-15,0,351,0%,52.1
2026-04-16,1,384,0.26%,50.9
2026-04-17,2,381,0.52%,54.1
2026-04-18,0,379,0%,52.8
2026-04-19,2,378,0.53%,46.7
2026-04-20,4,415,0.96%,36.9
